放送局名（認識用）,放送局名（設定用）,略称 ,サービスID
"ＴＢＣテレビ１", 17424, TBC1, 17424
"ＴＢＣテレビ２", 17425, TBC2, 17425
"ＮＨＫＥテレ１仙台", 17416, NHKE1, 17416
"ＮＨＫＥテレ２仙台", 17417, NHKE2, 17417
"ＮＨＫＥテレ３仙台", 17418, NHKE3, 17418
"ＮＨＫ総合１・仙台", 17408, NHKG1, 17408
"ＮＨＫ総合２・仙台", 17409, NHKG2, 17409
"ミヤギテレビ１", 17440, MMT1, 17440
"ミヤギテレビ２", 17441, MMT2, 17441
"ミヤギテレビ４", 17824, MMT4, 17824
"東日本放送ＣＨ１", 17448, KHB1, 17448
"東日本放送ＣＨ２", 17449, KHB2, 17449
"東日本放送ＣＨ３", 17450, KHB3, 17450
"仙台放送", 17432, OX1, 17432
"仙台放送", 17433, OX2, 17433
"仙台放送", 17816, OX3, 17816
"キャット・ヴィＣＨ", 17528, CATV1, 17528
"キャット・ヴィＣＨ", 17529, CATV2, 17529
"ＮＨＫ　ＢＳ", 101, NHKBS1, 101
"ＮＨＫ　ＢＳ", 102, NHKBS2, 102
"ＢＳ日テレ", 141, BSNTV1, 141
"ＢＳ日テレ", 142, BSNTV2, 142
"ＢＳ日テレ", 143, BSNTV3, 143
"ＢＳ朝日１", 151, BSEX1, 151
"ＢＳ朝日２", 152, BSEX2, 152
"ＢＳ朝日３", 153, BSEX3, 153
"ＢＳ－ＴＢＳ", 161, BSTBS1, 161
"ＢＳ－ＴＢＳ", 162, BSTBS2, 162
"ＢＳ－ＴＢＳ", 163, BSTBS3, 163
"ＢＳテレ東", 171, BSTX1, 171
"ＢＳテレ東２", 172, BSTX2, 172
"ＢＳテレ東３", 173, BSTX3, 173
"ＢＳフジ・１８１", 181, BSCX1, 181
"ＢＳフジ・１８２", 182, BSCX2, 182
"ＢＳフジ・１８３", 183, BSCX3, 183
"ＷＯＷＯＷプライム", 191, WOWOWPR, 191
"ＷＯＷＯＷライブ", 192, WOWOWL, 192
"ＷＯＷＯＷシネマ", 193, WOWOWC, 193
"ＢＳ１０", 200, BS10, 200
"ＢＳ１０プレミアム", 201, BS10P, 201
"ＢＳ１１イレブン", 211, BS11, 211
"ＢＳ１２トゥエルビ", 222, BS12, 222
"放送大学テレビ", 231, OUJ1, 231
"放送大学テレビ", 232, OUJ2, 232
"グリーンチャンネル", 234, GC1, 234
"ＢＳアニマックス", 236, ANIMAX, 236
"Ｊ　ＳＰＯＲＴＳ　１", 242, JS1, 242
"Ｊ　ＳＰＯＲＴＳ　２", 243, JS2, 243
"Ｊ　ＳＰＯＲＴＳ　３", 244, JS3, 244
"Ｊ　ＳＰＯＲＴＳ　４", 245, JS4, 245
"ＢＳ釣りビジョン", 251, FISH, 251
"ＷＯＷＯＷプラス", 252, WOWWOWPL, 252
"日本映画専門ｃｈ", 255, EIGA, 255
"ディズニーｃｈ", 256, DISNEY, 256
"Ｊ：ＣＯＭ　ＢＳ", 260, JCOM, 260
"ＢＳよしもと", 265, YOSHIMOTO, 265
